DateTime,volume_IVV,volume_RSP,volume_SCHX,volume_SPY,volume_VOO,volume_VTI,volume_XLE,volume_XLI,volume_XLK
2018-10-05,4367926,1082015,2029068,105951698,2564702,3198024,11983237,14165540,22288724
2018-10-08,5377355,486245,1565420,87742172,3219556,2515629,11578674,9359667,19973003
2018-10-09,5886812,607850,1123106,74338982,2078186,3690610,16817008,11606904,15138932
2018-10-10,8209472,1317694,1724249,214731042,5803925,6890284,26405265,34050401,44142990
2018-10-11,10570083,2233615,5871486,274840491,9037039,11707878,35592112,54550493,68269507
2018-10-12,7286819,1854727,4397688,183186492,7116658,7981221,23578960,29409772,35909369
2018-10-15,3517730,1018543,1610170,102263717,3306202,3386416,11590374,15201219,19152748
2018-10-16,5113423,905795,961050,118255834,3308475,3990411,14571389,12547323,20999283
2018-10-17,5944881,801485,1351029,110625987,2845791,3148305,15804298,15610606,24164921
2018-10-18,4418461,894804,1011029,134557525,3046804,3783811,16587091,19139268,22960568
2018-10-19,3043342,712983,1126826,139901634,2684216,2997909,13568442,17152370,22141736
2018-10-22,3852812,602993,978896,82415812,2101976,3220566,12294486,13675531,15981011
2018-10-23,5541442,1527932,2422252,146352719,5206532,4981584,26477733,25139942,24066081
2018-10-24,5209154,1818095,2310911,177806697,4065746,6013670,28100195,22170917,34165356
2018-10-25,4590456,3390091,1896270,138061545,4443798,4885982,25333570,23871513,23377176
2018-10-26,7153776,2564440,4625391,201574596,5278769,6623856,25579939,34330876,42743594
2018-10-29,6301811,2543187,2958943,160749101,5126245,5167312,24459846,23645624,34055312
2018-10-30,9531085,2557469,3788675,157115995,3619131,3675607,26397352,23445831,30560929
2018-10-31,7040669,3480325,1234681,128296325,4073392,4034663,17287796,14205471,21144140
2018-11-01,3428666,4104028,3180900,99495037,2870694,3713883,21475811,22653848,15553097
2018-11-02,3391853,2029028,2686480,122634107,3184459,3171400,21212484,23216442,20213140
2018-11-05,5606377,834143,1361577,65622482,1912193,3140186,13231630,17524352,14208230
2018-11-06,2430853,624934,1270890,60085894,2255176,2029999,13072117,15588995,9134209
2018-11-07,7669455,941234,1824757,102752099,3090762,2781209,16663206,14217774,16314800
2018-11-08,7660605,634693,1613562,65584886,2467027,1874791,15145350,11967438,10409749
2018-11-09,5327382,519720,818136,98812561,3078726,2226884,22917818,23409062,12941931
2018-11-12,3787077,746409,1025948,99673574,2710563,3530714,18041630,10822335,16431059
2018-11-13,5396796,829261,2176458,98176610,3097001,2290533,32732140,16032159,15703538
2018-11-14,4614907,931064,1182039,125335931,3619875,2766049,22542111,18374116,19496735
2018-11-15,6163850,1253758,1676646,135101437,3903480,2617456,15601565,24411606,26301445
2018-11-16,3803888,854040,1149926,126668040,2342780,2272315,19755466,15156011,17973021
2018-11-19,3555680,947610,1384816,103061706,2973794,3481785,15583829,14365307,19198619
2018-11-20,6274124,1282321,2685378,136021311,5000937,4627286,26324382,18024908,28064763
2018-11-21,4247135,683265,929151,75563743,2425494,4151435,17330943,10846049,16503284
2018-11-23,1660892,151177,785064,42807878,830910,1300011,14421770,6205521,5338114
2018-11-26,3187151,607945,1098787,79981362,2498530,4699685,16682750,12896350,12534629
2018-11-27,4565124,596103,799403,75502441,2849731,2860130,22264294,14431248,11538209
2018-11-28,5484695,818157,1349429,127629633,3723260,6061227,21148228,14139681,16609706
2018-11-29,4901319,528744,1523887,82346420,3279417,2895020,14414463,12997957,14115418
2018-11-30,7603587,689621,1107040,98204190,2992752,2142095,18129018,16428124,16509839
2018-12-03,5885427,1288587,1550200,103017719,3942694,3655543,21994116,19551093,16231664
2018-12-04,6727840,1194496,2579699,177986013,3837367,3917715,18296515,20580524,20991080
2018-12-06,8536303,2091261,2439555,204185411,7712736,6542944,35356073,28326215,21578006
2018-12-07,6089359,1373133,2185275,161018923,3928373,4986861,27445717,19238288,19937805
2018-12-10,8522734,1664985,2338169,151445885,5983702,5046755,23382779,25360052,20447973
2018-12-11,4526472,712112,2086772,121504431,4543174,3459208,17241615,18475738,15813349
2018-12-12,3879381,670510,1651599,97976706,4117033,3720085,19267357,14776421,16928906
2018-12-13,5215783,654225,1733054,96662717,2610765,3298447,15298973,15917813,12819551
2018-12-14,6080506,982674,2422625,116961071,5088580,4503463,22893814,14806200,15516205
2018-12-17,9320620,1721153,3366174,165492257,6127188,7193148,20732300,19796763,23263471
2018-12-18,10267622,2950149,3199605,134515094,4691397,8065590,26616985,15665189,19626573
2018-12-19,13166466,2041309,2706596,214992763,8215557,8010824,45548907,23553264,33606339
2018-12-20,13684373,2758569,5808745,252053377,12141874,13120148,38504384,25709873,39501833
